Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Aditya Banta,"MBBS, MS - Orthopaedics, FNB - Spine Surgery, DNB - Orthopedics/Orthopedic Surgery",100%,(11 patients),Phase-VI,Mohali,₹900,t9,"Spine Surgeon (Ortho), Orthopedic surgeon, Spine And Pain Specialist"
Dr. Suman Reddy,"BDS, MSc - Master of Oral Implantology (MOI), Fellowship and Diplomate in Implantology from ICOI (USA)",91%,(847 patients),Kadubeesanahalli,Bangalore,₹600,21,"Dentist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Kalpana Janardan,"MBBS, DNB - General Medicine",,,Bannerghatta Road,Bangalore,₹850,25,Internal Medicine
Dr. Pramod Kumar Maurya   (Physiotherapist),BPTh/BPT,94%,(31 patients),Domlur,Bangalore,₹500,11,TherapistPhysiotherapist
Dr. Raj. R,MD - Physician,,,Electronics City,Bangalore,₹499,t1,TherapistSexologist
Dr. Soumya KN,"MBBS, MS - Obstetrics & Gynaecology",,,Kengeri,Bangalore,₹700,14,"Laparoscopic Surgeon (Obs & Gyn), Gynecologist"
Dr. Nida Shaik,BDS,,,Sahakaranagar,Bangalore,₹300,10,Cosmetic/Aesthetic Dentist
Dr. G Srividya Reddy,"MBBS, MS - Obstetrics & Gynaecology",,,Marathahalli,Bangalore,₹900,13,"Obstetrician, Gynecologist"
Dr. Jayarami Reddy,MBBS,,,Electronics City,Bangalore,₹600,11,General Physician
Dr. Raghavendra R,"MBBS, DNB - Anaesthesia, MD - Anaesthesiology",,,Hebbal,Bangalore,₹1000,23,"Pain Management Specialist, Anesthesiologist"
Dr. Mahendra K P,BDS,98%,(50 patients),Banashankari 1st Stage,Bangalore,₹300,23,Dentist
Dr. Anusha Akilesh,"DDVL, MBBS",96%,(54 patients),Sadashivanagar,Bangalore,₹600,t9,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist"
Dr. Sandeep Satsangi,"DM - Hepatology, MD - General Medicine, MBBS",97%,(37 patients),Seshadripuram,Bangalore,₹740,13,Hepatologist
Dr. Ranjitha G Babu,"MBBS, MS - Obstetrics & Gynaecology",100%,(57 patients),Rajajinagar,Bangalore,₹600,17,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
Dr. Aishwarya M,BDS,,,Jayanagar 9 Block,Bangalore,₹300,t5,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Kavitha J,BDS,97%,(64 patients),Bannerghatta Road,Bangalore,₹300,27,"Dental Surgeon, Implantologist"
Dr. Harshith N,"MBBS, MS - Orthopaedics",,,Yelahanka New Town,Bangalore,₹600,n8,Orthopedic surgeon
Dr. Joslen John,"MBBS, DDVL",94%,(51 patients),Kalyan Nagar,Bangalore,₹650,t5,Dermatologist
Dr. Ananth G.,"MBBS, MS - General Surgery, MCh - Neuro Surgery",,,Ashoknagar,Bangalore,₹800,21,Neurosurgeon
Dr. Priyanka JP,BHMS,,,JP Nagar,Bangalore,₹300,h8,AYUSHHomoeopath
Dr. Aseel M   (Physiotherapist),BPTh/BPT,,,Indiranagar,Bangalore,₹800,t5,TherapistPhysiotherapist
Dr. Santhosh,"MBBS, MS - General Surgery, MCh - Neuro Surgery",82%,(11 patients),Hebbal,Bangalore,₹1000,16,Neurosurgeon
Dr. Kumar Prabhu,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",89%,(85 patients),Padmanabhanagar,Bangalore,₹750,26,"Urologist, Urological Surgeon"
Dr. G R Chandra Sekhar   (Physiotherapist),BPTh/BPT,100%,(118 patients),Padmanabhanagar,Bangalore,₹450,18,TherapistPhysiotherapist
Dr. Priti Venkatesh,"MBBS, MD - Obstetrics & Gynaecology, DGO",95%,(19 patients),Old Airport Road,Bangalore,₹900,39,"Infertility Specialist, Obstetrician, Gynecologist"
Dr. Muralidhara KA,"M.D. (Psychiatry), MBBS",,,Vijayanagar,Bangalore,₹800,10,"Psychiatrist, General Physician"
Dr. Poonam Prakash Kamble,"MBBS, Diploma in Child Health (DCH)",100%,(113 patients),Whitefield,Bangalore,₹850,15,Pediatrician
Dr. Kishore Babu S,"MBBS, MD - Pediatrics, DNB - Nephrology",63%,(27 patients),Old Airport Road,Bangalore,₹1100,33,Nephrologist/Renal Specialist
Dr. Sandhya Ghode,"MBBS, MS - Obstetrics & Gynaecology",,,Indiranagar,Bangalore,,10,"Gynecologist, Obstetrician"
Dr. Shivekshith A K,MDS - Conservative Dentistry & Endodontics,96%,(70 patients),HSR Layout,Bangalore,₹300,10,Endodontist
Dr. Krishna Shama Rao,"BDS, MDS - Oral & Maxillofacial Surgery, MBBS, FRCS - Oral and Maxillofacial Surgery, FDSRCS - Fellowship in Dental Surgery",,,Kengeri,Bangalore,₹1000,43,"Craniofacial Surgeon, Oral And MaxilloFacial Surgeon"
Dr. Shuba Walsalam,BHMS,,,Jayanagar 4 Block,Bangalore,₹500,22,AYUSHHomoeopath
Dr. Udaybhaskar M,"MBBS, MS - General Surgery, MCh - Urology",77%,(47 patients),Jayanagar 9 Block,Bangalore,₹750,18,"Urologist, Andrologist, Urological Surgeon"
Dr. Sanjeev Kumar Hiremath,"MBBS, MD - General Medicine, DM - Nephrology",80%,(35 patients),Jayanagar,Bangalore,₹800,26,Nephrologist/Renal Specialist
Dr. Kavitha K B,BDS,,,Sahakaranagar,Bangalore,₹500,21,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Prity Bhagat Lohia,"BDS, MDS - Periodontics",98%,(132 patients),BTM Layout 1st Stage,Bangalore,₹400,13,"Dental Surgeon, Periodontist, Implantologist"
Dr. Anirban Chatterjee,"BDS, MDS - Periodontics",81%,(26 patients),Jayanagar 9 Block,Bangalore,₹500,30,"Dentist, Periodontist, Implantologist"
Ms. Nafeesa Imteyaz,MSc. - Dietetics & Food Service Management,98%,(3684 patients),Indiranagar,Bangalore,₹1000,28,TherapistDietitian/Nutritionist
Dr. Asha Praveena,"BDS, MDS - Periodontics",98%,(453 patients),Kaggadasapura,Bangalore,₹300,15,"Periodontist, Implantologist, Cosmetic/Aesthetic Dentist"
Dr. Nakul BK,BDS,96%,(55 patients),HSR Layout,Bangalore,₹500,n7,"Dentist, Dental Surgeon"
Dr. Kayal Vizhi N,"MBBS, DNB - General Medicine, DNB - Gastroenterology",93%,(15 patients),Hebbal,Bangalore,₹850,t9,Gastroenterologist
Dr. Raghavendra Chikkatur,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",88%,(24 patients),Kengeri,Bangalore,₹700,23,"Cardiothoracic Surgeon, Thoracic (Chest) Surgeon"
Dr. Akshitha Ratnakara Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy",96%,(26 patients),Indiranagar,Bangalore,₹600,14,"Dermatologist, Hair Transplant Surgeon, Aesthetic Dermatologist, Trichologist, Cosmetologist"
Dr. Mansi Srivastava,BNYS,,,Indiranagar,Bangalore,₹500,t1,"AYUSHYoga and Naturopathy, Acupuncturist"
Dr. Shwetha H P,"MBBS, DVD",96%,(23 patients),Sarjapur Road,Bangalore,₹650,11,Dermatologist
Dr. Balakrishna S,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, DNB - General Surgery",,,Millers Road,Bangalore,₹1000,15,GastroIntestinal Surgeon
Dr. Suhas Prabhakar,"BDS, MDS - Oral & Maxillofacial Surgery",98%,(48 patients),Bannerghatta Road,Bangalore,₹300,14,Oral And MaxilloFacial Surgeon
Dr. Divya Prahlad,"BDS, MDS - Paedodontics And Preventive Dentistry",94%,(17 patients),Indiranagar,Bangalore,₹1000,15,"Pediatric Dentist, Dentist"
Dr. Parimala V Thirumalesh,"MBBS, MD - Pediatrics",96%,(23 patients),Hebbal,Bangalore,₹800,23,Pediatrician
Dr. Supriya,"BDS, MDS - Prosthodontist And Crown Bridge",,,BTM Layout 1st Stage,Bangalore,₹300,t5,"Prosthodontist, Implantologist"
Dr. Chandni Gupta Menon,"BDS, MDS - Conservative Dentistry & Endodontics",100%,(22 patients),Marathahalli,Bangalore,₹200,t7,"Endodontist, Cosmetic/Aesthetic Dentist, Conservative Dentist, Dentist"
Dr. Tallam Kartik Shrinivas,"MBBS, DNB - General Surgery, MCh - Plastic & Reconstructive Surgery",,,Whitefield,Bangalore,₹850,20,Plastic Reconstruction Surgeon
Dr. Vidyashankar P,"MBBS, DNB - Paediatrics, DM - Nephrology",95%,(41 patients),Hebbal,Bangalore,₹1000,21,Nephrologist/Renal Specialist
Dr. Manoj Kumari,BDS,,,West Of Chord Road,Bangalore,₹300,n9,"Dentist, Dental Surgeon"
Dr. Arun Kumar Rawal   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",99%,(121 patients),Indiranagar,Bangalore,₹1500,12,TherapistSports and Musculoskeletal Physiotherapist
Dr. Gopika Nair   (Physiotherapist),BPTh/BPT,100%,(11 patients),Jigani,Bangalore,₹400,t3,"TherapistPhysiotherapist, Geriatric Physiotherapist"
Dr. Abhijit Chavan,"DNB - Orthopedics/Orthopedic Surgery, MBBS",91%,(58 patients),Whitefield,Bangalore,₹850,19,Orthopedic surgeon
Ms. Kalpana Joshi,BSc - Speech & Hearing,93%,(27 patients),Banashankari 2nd Stage,Bangalore,₹500,30,TherapistAudiologist
Dr. Sandeep R,"MBBS, MD - Pediatrics, DNB - Neonatology",,,Marathahalli,Bangalore,₹950,12,"Neonatologist, Pediatrician"
Dr. Archishubhra Pal   (Physiotherapist),"BPTh/BPT, Masters of Physiotheraphy",98%,(215 patients),Hennur,Bangalore,₹550,17,TherapistPhysiotherapist
Dr. Rajesh Srinivas,"MBBS, MS - Orthopaedics",,,Indiranagar,Bangalore,₹700,12,Orthopedic surgeon
Dr. Madhuri Patil,"MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG), MBBS, DGO",82%,(22 patients),Bannerghatta Road,Bangalore,₹1000,38,"Infertility Specialist, Reproductive Endocrinologist (Infertility), Gynecologist"
Dr. Supriya Dsilva,"MBBS, DPM (Psychiatry), DNB - Psychiatry",,,Sarjapur Road,Bangalore,₹1050,t9,"Neuropsychiatrist, Psychiatrist"
Dr. Vijayendra R,"MDS - Periodontics, BDS, MDS",100%,(95 patients),BTM Layout 2nd Stage,Bangalore,₹400,48,"Periodontist, Dentist"
Dr. Kalpana S Hegde,"MBBS, DNB - Otorhinolaryngology",97%,(130 patients),Yeshwanthpur,Bangalore,₹750,24,ENT/ Otorhinolaryngologist
Dr. Ranjani Rao,BDS,94%,(201 patients),Electronics City,Bangalore,₹500,25,"Dentist, Implantologist"
Dr. Harish K V,"MBBS, MD - General Medicine",86%,(57 patients),Millers Road,Bangalore,₹1000,27,"General Physician, Internal Medicine"
Dr. Pinto Kiran,"MBBS, MD - Ophthalmology",78%,(18 patients),Vijayanagar,Bangalore,₹500,12,Ophthalmologist/ Eye Surgeon
Dr. Megha Gupta,"MDS - Conservative Dentistry & Endodontics, BDS",100%,(23 patients),Whitefield,Bangalore,₹600,t9,Endodontist
Ms. Roopali Das,MA - Psychology,100%,(15 patients),Sarjapur Road,Bangalore,₹1200,t5,TherapistCounselling Psychologist
Dr. Aman Sodhi,"BDS, MDS - Oral Medicine and Radiology",98%,(777 patients),Arekere,Bangalore,₹300,21,"Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Jinu Clara,BDS,,,Hosur Road,Bangalore,₹200,t8,Dentist
Dr. Tejas Suresh Rao,"MBBS, MD - General Medicine",95%,(109 patients),Yeshwanthpur,Bangalore,₹850,13,"General Physician, Internal Medicine, Special Interest in Diabetology"
Dr. Sharon Abraham,"BDS, MDS",,,Sahakaranagar,Bangalore,₹600,10,Dentist
Dr. Rajeev Pullagura,"MBBS, MS - General Surgery",100%,(19 patients),Begur,Bangalore,₹650,14,"General Surgeon, Laparoscopic Surgeon, Diabetic Foot Surgeon"
Dr. Tejaswini Nayak,"MBBS, Diploma in Paediatrics",96%,(549 patients),Bellandur,Bangalore,₹1000,28,Pediatrician
Dr. Neha Rajni,"BDS, MDS - Orthodontics",96%,(376 patients),Sarjapur Road,Bangalore,₹500,19,"Orthodontist, Dentist"
Dr. Arul Selvi,"MBBS, DNB - Pediatrics",100%,(23 patients),Indiranagar,Bangalore,₹800,17,Pediatrician
Dr. Sharanya Shaker,BDS,,,JP Nagar,Bangalore,₹500,t8,Dentist
Dr. Niranjan P,"MBBS, DNB - General Surgery",,,Jayanagar,Bangalore,₹700,18,"Laparoscopic Surgeon, General Surgeon, Bariatric Surgeon"
Dr. Ravi Jangamani,"MBBS, MD - General Medicine, DNB - Nephrology",,,Old Airport Road,Bangalore,₹1100,20,Nephrologist/Renal Specialist
Dr. Aarthi Shankar,BDS,99%,(109 patients),Sarjapur Road,Bangalore,₹400,18,"Dentist, Dental Surgeon"
Dr. Rashmika Reddy,"MBBS, MD - Dermatology , Venereology & Leprosy",94%,(36 patients),Indiranagar,Bangalore,₹600,n8,"Dermatologist, Aesthetic Dermatologist, Trichologist, Hair Transplant Surgeon"
Dr. Shivalinga swamy Salimath,"MBBS, MD - Respiratory Medicine",100%,(22 patients),Sampangiramnagar,Bangalore,₹800,t8,Pulmonologist
Dr. Suhasini Inamdar,"MBBS, MS - Obstetrics & Gynaecology",96%,(157 patients),Indiranagar,Bangalore,₹800,38,"Obstetrician, Gynecologist, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Harshitha Boyareddigari,"MBBS, DNB - General Medicine, DM - Endocrinology",,,Jayanagar 9 Block,Bangalore,₹750,12,Endocrinologist
Dr. Nomita Devi Arambam,BNYS,100%,(16 patients),Indiranagar,Bangalore,₹1650,y9,AYUSHYoga and Naturopathy
Dr. Vyshnavi A Rao,"MBBS, MS - Obstetrics & Gynaecology",97%,(106 patients),JP Nagar 1 Phase,Bangalore,₹600,n9,Obstetrician
Dr. Sunil Anto,BDS,,,Ulsoor,Bangalore,₹400,21,"Dentist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Aarthi Bharat,"MBBS, MD - Obstetrics & Gynaecology",97%,(415 patients),Banashankari,Bangalore,₹750,24,"Gynecologist, Obstetrician"
Dr. Mohini N Prasad,"MBBS, MRCOG(UK)",,,Seshadripuram,Bangalore,₹740,47,"Obstetrician, Gynecologist"
Dr. Chitralekha N. Dambekodi,"MBBS, DGO, MRCOG(UK)",95%,(228 patients),Malleswaram,Bangalore,₹850,25,"Gynecologist, Obstetrician"
Dr. Santhoshkumar K   (Physiotherapist),"BPTh/BPT, MPT - Orthopaedics & Traumatology",,,Ashoknagar,Bangalore,₹500,16,TherapistPhysiotherapist
Dr. Nithya Logeshwari K,"MBBS, MD - Dermatology , Venereology & Leprosy",,,BEL Layout,Bangalore,₹600,t5,Dermatologist
Dr. Anand Patil,"MBBS, MD - Pediatrics",,,Whitefield,Bangalore,₹800,12,Pediatrician
Dr. Vijaya G,"MBBS, MS - General Surgery",99%,(131 patients),Yeshwanthpur,Bangalore,₹850,29,"General Surgeon, Laparoscopic Surgeon"
Dr. Meena Venkatraman,"MBBS, Diplomate of the American Board of Paediatrics",98%,(932 patients),Old Airport Road,Bangalore,₹900,21,Pediatrician
Dr. Lakshmi Priya,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",,,Banashankari,Bangalore,₹600,11,"Infertility Specialist, Gynecologist, Obstetrician"
Dr. S. Vaseem Ahamadi,BDS,,,JP Nagar 3 Phase,Bangalore,₹200,11,Dentist
